date,1024x768,1280x1024,1280x800,1680x1050,800x600,1440x900,1152x864
2007-12-14,12,5,2,0,0,0,0
2007-12-15,8,2,4,0,0,0,0
2007-12-16,4,2,1,1,0,0,0
2007-12-17,3,3,1,0,0,0,0
2007-12-18,8,3,0,1,1,0,0
2007-12-19,10,0,1,0,0,0,0
2007-12-20,4,0,0,0,0,1,0
2007-12-21,10,0,0,1,0,0,0
2007-12-22,1,1,3,1,0,0,0
2007-12-23,4,7,0,2,0,0,0
2007-12-24,3,4,1,0,1,0,0
2007-12-25,0,0,2,0,0,0,0
2007-12-26,3,1,4,0,0,0,1
2007-12-27,1,0,7,1,0,1,0
2007-12-28,2,4,2,1,1,0,0
2007-12-29,1,2,5,0,0,0,0
2007-12-30,7,6,5,0,1,0,0
2007-12-31,3,0,1,0,0,0,0
2008-01-01,7,1,0,1,0,0,0
2008-01-02,3,3,2,1,0,1,0
2008-01-03,11,1,1,0,0,0,1
2008-01-04,6,0,1,3,1,0,0
2008-01-05,0,2,2,1,0,0,0
2008-01-06,4,0,1,1,0,0,0
2008-01-07,4,1,2,0,0,0,0
2008-01-08,6,1,2,0,0,0,0
2008-01-09,6,2,0,1,0,0,0
2008-01-10,4,2,1,2,0,0,0
2008-01-11,7,1,1,1,0,0,0
2008-01-12,12,1,1,0,2,0,0
2008-01-13,11,5,1,0,0,0,0
2008-01-14,5,0,2,1,0,0,0
2008-01-15,2,1,1,0,1,0,0
2008-01-16,2,2,2,1,0,0,0
2008-01-17,2,2,0,0,0,0,0
2008-01-18,3,0,0,0,0,0,0
2008-01-19,0,2,5,1,1,0,0
2008-01-20,3,2,3,2,0,0,0
2008-01-21,4,3,3,0,1,0,0
2008-01-22,3,1,0,1,0,1,0
2008-01-23,5,2,2,0,0,0,0
2008-01-24,6,3,0,1,0,0,0
2008-01-25,6,1,4,1,0,1,0
2008-01-26,3,0,5,1,0,0,0
2008-01-27,12,3,4,1,0,0,0
2008-01-28,4,0,2,1,0,0,0
2008-01-29,1,1,5,1,1,0,0
2008-01-30,2,1,0,1,1,0,0
2008-01-31,3,2,4,1,0,1,1
2008-02-01,5,1,0,0,0,0,0
2008-02-02,5,1,1,1,0,0,0
2008-02-03,3,1,0,1,0,0,0
2008-02-04,6,3,1,1,0,0,0
2008-02-05,8,1,0,0,0,0,0
2008-02-06,5,2,0,0,0,0,0
2008-02-07,6,3,3,1,0,0,0
2008-02-08,1,2,2,0,0,0,0
2008-02-09,1,4,1,0,0,0,0
2008-02-10,1,4,1,0,0,0,0
2008-02-11,2,2,0,0,0,0,0
2008-02-12,5,2,1,2,0,0,0
2008-02-13,5,1,1,1,1,0,0
2008-02-14,5,5,1,1,0,0,0
2008-02-15,3,4,0,0,1,1,0
2008-02-16,3,0,4,1,0,0,0
2008-02-17,4,2,4,0,0,1,0
2008-02-18,2,1,5,1,0,0,0
2008-02-19,3,0,3,5,0,0,0
2008-02-20,4,0,3,0,0,0,0
2008-02-21,4,0,1,1,0,0,0
2008-02-22,2,0,1,0,0,0,0
2008-02-23,1,6,2,1,0,2,0
2008-02-24,1,2,2,2,0,5,0
2008-02-25,2,1,2,1,0,0,1
2008-02-26,2,1,3,0,0,0,0
2008-02-27,6,0,1,1,0,0,0
2008-02-28,4,0,2,1,0,1,0
2008-02-29,3,0,0,0,0,0,0
2008-03-01,2,0,1,1,0,0,1
2008-03-02,0,2,3,3,0,1,0
2008-03-03,3,3,1,1,0,0,0
2008-03-04,4,0,3,2,0,0,0
2008-03-05,4,3,1,0,0,1,0
2008-03-06,7,9,1,0,0,0,0
2008-03-07,6,0,2,1,0,0,0
2008-03-08,4,0,1,0,0,0,1
2008-03-09,2,2,4,1,0,0,0
2008-03-10,4,0,4,1,0,0,0
2008-03-11,1,1,0,0,0,0,2
2008-03-12,6,0,2,1,0,0,0
2008-03-13,1,1,1,2,0,0,0
2008-03-14,5,1,1,2,0,0,0
2008-03-15,4,1,1,0,0,0,0
2008-03-16,3,3,1,1,0,0,0
2008-03-17,2,0,0,0,0,0,0
2008-03-18,19,3,0,0,0,1,0
2008-03-19,0,0,0,0,0,0,0
2008-03-20,2,0,0,0,0,0,0
2008-03-21,7,17,0,1,0,0,1
2008-03-22,5,8,2,1,0,0,0
2008-03-23,1,8,4,1,0,0,0
2008-03-24,8,11,3,0,0,3,0
2008-03-25,6,3,0,0,0,0,0
2008-03-26,6,2,2,1,0,1,1
2008-03-27,3,3,1,0,0,0,0
2008-03-28,4,3,1,0,0,0,0
2008-03-29,2,4,0,0,0,0,0
2008-03-30,1,1,5,1,0,0,0
2008-03-31,4,3,2,0,0,3,0
2008-04-01,5,1,2,0,0,1,0
2008-04-02,8,3,1,0,0,3,0
2008-04-03,3,2,2,0,0,0,0
2008-04-04,4,1,0,0,0,0,0
